t,total_ins_0,"f(0, 0)","f(0, 1)","f(0, 2)","f(0, 3)","f(0, 4)",Soma(0)
0.2700000000,0.9121768869,0.0404394992,0.2243821422,0.3725839112,0.2747713344,0.0878231131,1.0000000000
0.2800000000,0.9117580002,0.0401570133,0.2238847477,0.3724679868,0.2752482524,0.0882419998,1.0000000000
0.2900000000,0.9113585133,0.0398912067,0.2234117096,0.3723537821,0.2757018149,0.0886414867,1.0000000000
0.3000000000,0.9109774541,0.0396409973,0.2229619022,0.3722414574,0.2761330972,0.0890225459,1.0000000000
0.3100000000,0.9106139077,0.0394053808,0.2225342356,0.3721311507,0.2765431406,0.0893860923,1.0000000000
0.3200000000,0.9102670122,0.0391834244,0.2221276574,0.3720229801,0.2769329502,0.0897329878,1.0000000000
0.3300000000,0.9099359549,0.0389742612,0.2217411543,0.3719170448,0.2773034946,0.0900640451,1.0000000000
0.3400000000,0.9096199685,0.0387770848,0.2213737522,0.3718134267,0.2776557049,0.0903800315,1.0000000000
0.3500000000,0.9093183283,0.0385911448,0.2210245167,0.3717121924,0.2779904744,0.0906816717,1.0000000000
0.3600000000,0.9090303487,0.0384157425,0.2206925531,0.3716133938,0.2783086594,0.0909696513,1.0000000000
0.3700000000,0.9087553810,0.0382502269,0.2203770056,0.3715170698,0.2786110788,0.0912446190,1.0000000000
0.3800000000,0.9084928109,0.0380939909,0.2200770569,0.3714232476,0.2788985155,0.0915071891,1.0000000000
0.3900000000,0.9082420560,0.0379464685,0.2197919271,0.3713319437,0.2791717167,0.0917579440,1.0000000000
0.4000000000,0.9080025642,0.0378071314,0.2195208729,0.3712431649,0.2794313950,0.0919974358,1.0000000000
0.4100000000,0.9077738115,0.0376754861,0.2192631863,0.3711569095,0.2796782296,0.0922261885,1.0000000000
0.4200000000,0.9075553004,0.0375510719,0.2190181935,0.3710731679,0.2799128670,0.0924446996,1.0000000000
0.4300000000,0.9073465583,0.0374334581,0.2187852536,0.3709919240,0.2801359225,0.0926534417,1.0000000000
0.4400000000,0.9071471360,0.0373222418,0.2185637576,0.3709131554,0.2803479813,0.0928528640,1.0000000000
0.4500000000,0.9069566067,0.0372170464,0.2183531265,0.3708368342,0.2805495995,0.0930433933,1.0000000000
0.4600000000,0.9067745639,0.0371175191,0.2181528108,0.3707629283,0.2807413057,0.0932254361,1.0000000000
0.4700000000,0.9066006213,0.0370233300,0.2179622885,0.3706914012,0.2809236016,0.0933993787,1.0000000000
0.4800000000,0.9064344108,0.0369341697,0.2177810643,0.3706222130,0.2810969639,0.0935655892,1.0000000000
0.4900000000,0.9062755822,0.0368497484,0.2176086682,0.3705553208,0.2812618447,0.0937244178,1.0000000000
0.5000000000,0.9061238018,0.0367697946,0.2174446544,0.3704906793,0.2814186734,0.0938761982,1.0000000000
0.5100000000,0.9059787515,0.0366940535,0.2172885999,0.3704282410,0.2815678571,0.0940212485,1.0000000000
0.5200000000,0.9058401285,0.0366222861,0.2171401037,0.3703679567,0.2817097821,0.0941598715,1.0000000000
0.5300000000,0.9057076438,0.0365542681,0.2169987853,0.3703097758,0.2818448146,0.0942923562,1.0000000000
